Year,Education Level,Earnings
2021,Some College,47171
2021,Bachelor's,54833
2021,Graduate Degree,68291
2020,Some College,45050
2020,Bachelor's,54091
2020,Graduate Degree,70274
2019,Some College,46354
2019,Bachelor's,53974
2019,Graduate Degree,73836
2018,Some College,42957
2018,Bachelor's,52311
2018,Graduate Degree,66719
2017,Some College,40424
2017,Bachelor's,45313
2017,Graduate Degree,64575
2016,Some College,40804
2016,Bachelor's,47181
2016,Graduate Degree,55750
2015,Some College,40104
2015,Bachelor's,45000
2015,Graduate Degree,50506
2014,Some College,40445
2014,Bachelor's,41860
2014,Graduate Degree,51744
2013,Some College,39102
2013,Bachelor's,43693
2013,Graduate Degree,52045
2012,Some College,40951
2012,Bachelor's,44471
2012,Graduate Degree,53217
2011,Some College,40500
2011,Bachelor's,43673
2011,Graduate Degree,55763
2010,Some College,42210
2010,Bachelor's,42578
2010,Graduate Degree,60546